fips,areaname23,name,msa23,fmr23_2,fmr23,msa22,fmr22_2,fmr22,areaname22,msa21,fmr21_2,fmr21,msa20,fmr20_2,fmr20,msa19,fmr19_2,fmr19,msa18,fmr18_2,fmr18,msa17,fmr17_2,fmr17,msa16,fmr16_2,fmr16,msa15,fmr15_2,fmr15,msa14,fmr14_2,fmr14,msa13,fmr13_2,fmr13,msa12,fmr12_2,fmr12,msa11,fmr11_2,fmr11,msa10,fmr10_2,fmr10,msa09,fmr09_2,fmr09,msa08,fmr08_2,fmr08,msa07,fmr07_2,fmr07,msa06,fmr06_2,fmr06,msa05,fmr05_2,fmr05,msa04,fmr04_2,fmr04,msa03,fmr03_2,fmr03,msa02,fmr02_2,fmr02,msa01,fmr01_2,fmr01,msa00,fmr00_2,fmr00,state,county
5115799999,"Rappahannock County, VA HUD Metro FMR Area",Rappahannock County,METRO47900N51157,1096,40,METRO47900N51157,1047,40,"Rappahannock County, VA HUD Metro FMR Area",METRO47900N51157,1074,40,METRO47900N51157,1092,40,METRO47900N51157,1106,40,METRO47900N51157,1140,40,METRO47900N51157,1097,40,METRO47900N51157,1046,40,NCNTY51157N51157,1056,40,NCNTY51157N51157,990,40,NCNTY51157N51157,946,40,NCNTY51157N51157,791,40,NCNTY51157N51157,700,40,NCNTY51157N51157,680,40,NCNTY51157N51157,664,40,NCNTY51157N51157,638,40,NCNTY51157N51157,597,40,NCNTY51157N51157,574,40,9999,558,40,10000,570,40,10000,570,40,10000,556,40,10000,535,40,10000,531,40,51,157
5115999999,"Richmond County, VA",Richmond County,NCNTY51159N51159,975,40,NCNTY51159N51159,864,40,"Richmond County, VA",NCNTY51159N51159,861,40,NCNTY51159N51159,890,40,NCNTY51159N51159,846,40,NCNTY51159N51159,816,40,NCNTY51159N51159,707,40,NCNTY51159N51159,735,40,NCNTY51159N51159,777,40,NCNTY51159N51159,719,40,NCNTY51159N51159,713,40,NCNTY51159N51159,636,40,NCNTY51159N51159,708,40,NCNTY51159N51159,687,40,NCNTY51159N51159,671,40,NCNTY51159N51159,645,40,NCNTY51159N51159,604,40,NCNTY51159N51159,581,40,9999,565,40,10000,460,40,10000,460,40,10000,449,40,10000,432,40,10000,429,40,51,159
5116199999,"Roanoke, VA HUD Metro FMR Area",Roanoke County,METRO40220M40220,990,40,METRO40220M40220,879,40,"Roanoke, VA HUD Metro FMR Area",METRO40220M40220,941,40,METRO40220M40220,844,40,METRO40220M40220,821,40,METRO40220M40220,846,40,METRO40220M40220,876,40,METRO40220M40220,845,40,METRO40220M40220,732,40,METRO40220M40220,720,40,METRO40220M40220,764,40,METRO40220M40220,732,40,METRO40220M40220,721,40,METRO40220M40220,700,40,METRO40220M40220,683,40,METRO40220M40220,656,40,METRO40220M40220,613,40,METRO40220M40220,589,40,6800,586,40,6800,515,40,6800,512,40,6800,500,40,6800,484,40,6800,479,40,51,161
5116399999,"Rockbridge County-Buena Vista city-Lexington city, VA HUD Nonmetr",Rockbridge County,NCNTY51163N51163,830,40,NCNTY51163N51163,762,40,"Rockbridge County-Buena Vista city-Lexington city, VA HUD Nonmetr",NCNTY51163N51163,770,40,NCNTY51163N51163,797,40,NCNTY51163N51163,778,40,NCNTY51163N51163,767,40,NCNTY51163N51163,706,40,NCNTY51163N51163,706,40,NCNTY51163N51163,677,40,NCNTY51163N51163,638,40,NCNTY51163N51163,678,40,NCNTY51163N51163,612,40,NCNTY51163N51163,588,40,NCNTY51163N51163,571,40,NCNTY51163N51163,557,40,NCNTY51163N51163,535,40,NCNTY51163N51163,502,40,NCNTY51163N51163,483,40,9999,452,40,10000,456,40,10000,456,40,10000,445,40,10000,428,40,10000,425,40,51,163
5116599999,"Harrisonburg, VA MSA",Rockingham County,METRO25500M25500,1027,40,METRO25500M25500,951,40,"Harrisonburg, VA MSA",METRO25500M25500,927,40,METRO25500M25500,902,40,METRO25500M25500,881,40,METRO25500M25500,840,40,METRO25500M25500,803,40,METRO25500M25500,808,40,METRO25500M25500,863,40,METRO25500M25500,740,40,METRO25500M25500,741,40,METRO25500M25500,784,40,METRO25500M25500,713,40,METRO25500M25500,692,40,METRO25500M25500,676,40,METRO25500M25500,649,40,METRO25500M25500,610,40,METRO25500M25500,586,40,9999,569,40,10000,540,40,10000,540,40,10000,527,40,10000,507,40,10000,503,40,51,165
5116799999,"Russell County, VA",Russell County,NCNTY51167N51167,793,40,NCNTY51167N51167,702,40,"Russell County, VA",NCNTY51167N51167,701,40,NCNTY51167N51167,714,40,NCNTY51167N51167,700,40,NCNTY51167N51167,684,40,NCNTY51167N51167,633,40,NCNTY51167N51167,658,40,NCNTY51167N51167,643,40,NCNTY51167N51167,617,40,NCNTY51167N51167,626,40,NCNTY51167N51167,541,40,NCNTY51167N51167,588,40,NCNTY51167N51167,571,40,NCNTY51167N51167,557,40,NCNTY51167N51167,535,40,NCNTY51167N51167,502,40,NCNTY51167N51167,483,40,9999,428,40,10000,456,40,10000,456,40,10000,445,40,10000,428,40,10000,425,40,51,167
5116999999,"Kingsport-Bristol-Bristol, TN-VA MSA",Scott County,METRO28700M28700,793,40,METRO28700M28700,702,40,"Kingsport-Bristol-Bristol, TN-VA MSA",METRO28700M28700,701,40,METRO28700M28700,714,40,METRO28700M28700,700,40,METRO28700M28700,684,40,METRO28700M28700,636,40,METRO28700M28700,660,40,METRO28700M28700,658,40,METRO28700M28700,617,40,METRO28700M28700,626,40,METRO28700M28700,563,40,METRO28700M28700,588,40,METRO28700M28700,571,40,METRO28700M28700,557,40,METRO28700M28700,535,40,METRO28700M28700,502,40,METRO28700M28700,483,40,3660,476,40,3660,486,40,3660,484,40,3660,471,40,3660,458,40,3660,450,40,51,169
5117199999,"Shenandoah County, VA",Shenandoah County,NCNTY51171N51171,972,40,NCNTY51171N51171,828,40,"Shenandoah County, VA",NCNTY51171N51171,824,40,NCNTY51171N51171,839,40,NCNTY51171N51171,824,40,NCNTY51171N51171,835,40,NCNTY51171N51171,792,40,NCNTY51171N51171,784,40,NCNTY51171N51171,816,40,NCNTY51171N51171,714,40,NCNTY51171N51171,761,40,NCNTY51171N51171,650,40,NCNTY51171N51171,634,40,NCNTY51171N51171,615,40,NCNTY51171N51171,601,40,NCNTY51171N51171,577,40,NCNTY51171N51171,542,40,NCNTY51171N51171,521,40,9999,506,40,10000,512,40,10000,512,40,10000,500,40,10000,481,40,10000,478,40,51,171
5117399999,"Smyth County, VA",Smyth County,NCNTY51173N51173,793,40,NCNTY51173N51173,702,40,"Smyth County, VA",NCNTY51173N51173,701,40,NCNTY51173N51173,714,40,NCNTY51173N51173,700,40,NCNTY51173N51173,684,40,NCNTY51173N51173,633,40,NCNTY51173N51173,658,40,NCNTY51173N51173,643,40,NCNTY51173N51173,617,40,NCNTY51173N51173,626,40,NCNTY51173N51173,541,40,NCNTY51173N51173,588,40,NCNTY51173N51173,571,40,NCNTY51173N51173,557,40,NCNTY51173N51173,535,40,NCNTY51173N51173,502,40,NCNTY51173N51173,483,40,9999,393,40,10000,456,40,10000,456,40,10000,445,40,10000,428,40,10000,425,40,51,173
5117599999,"Southampton County-Franklin city, VA HUD Metro FMR Area",Southampton County,METRO47260N51175,953,40,METRO51175N51175,843,40,"Southampton County-Franklin city, VA HUD Metro FMR Area",NCNTY51175N51175,786,40,NCNTY51175N51175,818,40,NCNTY51175N51175,815,40,NCNTY51175N51175,824,40,NCNTY51175N51175,748,40,NCNTY51175N51175,761,40,NCNTY51175N51175,806,40,NCNTY51175N51175,748,40,NCNTY51175N51175,777,40,NCNTY51175N51175,695,40,NCNTY51175N51175,653,40,NCNTY51175N51175,634,40,NCNTY51175N51175,619,40,NCNTY51175N51175,595,40,NCNTY51175N51175,557,40,NCNTY51175N51175,535,40,9999,520,40,10000,456,40,10000,456,40,10000,445,40,10000,428,40,10000,425,40,51,175
5117799999,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Spotsylvania County,METRO47900M47900,1838,40,METRO47900M47900,1785,40,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",METRO47900M47900,1765,40,METRO47900M47900,1707,40,METRO47900M47900,1665,40,METRO47900M47900,1793,50,METRO47900M47900,1746,50,METRO47900M47900,1623,50,METRO47900M47900,1458,40,METRO47900M47900,1469,40,METRO47900M47900,1412,40,METRO47900M47900,1506,50,METRO47900M47900,1461,50,METRO47900M47900,1494,50,METRO47900M47900,1288,40,METRO47900M47900,1324,50,METRO47900M47900,1286,50,METRO47900M47900,1225,50,8840,1187,50,8840,1218,50,8840,1154,50,8840,943,50,8840,907,50,8840,840,40,51,177
5117999999,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",Stafford County,METRO47900M47900,1838,40,METRO47900M47900,1785,40,"Washington-Arlington-Alexandria, DC-VA-MD HUD Metro FMR Area",METRO47900M47900,1765,40,METRO47900M47900,1707,40,METRO47900M47900,1665,40,METRO47900M47900,1793,50,METRO47900M47900,1746,50,METRO47900M47900,1623,50,METRO47900M47900,1458,40,METRO47900M47900,1469,40,METRO47900M47900,1412,40,METRO47900M47900,1506,50,METRO47900M47900,1461,50,METRO47900M47900,1494,50,METRO47900M47900,1288,40,METRO47900M47900,1324,50,METRO47900M47900,1286,50,METRO47900M47900,1225,50,8840,1187,50,8840,1218,50,8840,1154,50,8840,943,50,8840,907,50,8840,840,40,51,179
5118199999,"Surry County, VA",Surry County,NCNTY51181N51181,793,40,NCNTY51181N51181,702,40,"Surry County, VA",NCNTY51181N51181,717,40,NCNTY51181N51181,752,40,NCNTY51181N51181,718,40,NCNTY51181N51181,694,40,NCNTY51181N51181,645,40,NCNTY51181N51181,658,40,METRO47260M47260,1107,50,METRO47260M47260,1130,50,METRO47260M47260,1136,50,METRO47260M47260,1064,50,METRO47260M47260,965,40,METRO47260M47260,934,40,METRO47260M47260,904,40,METRO47260M47260,904,50,METRO47260M47260,844,50,METRO47260M47260,811,50,9999,485,40,10000,456,40,10000,456,40,10000,445,40,10000,428,40,10000,425,40,51,181
5118399999,"Richmond, VA MSA",Sussex County,METRO40060M40060,1336,40,METRO40060M40060,1189,40,"Richmond, VA MSA",METRO40060M40060,1163,40,METRO40060M40060,1061,40,METRO40060M40060,1067,40,METRO40060M40060,1042,40,METRO40060M40060,1005,40,METRO40060M40060,966,40,METRO40060M40060,993,50,METRO40060M40060,984,50,METRO40060M40060,979,50,METRO40060M40060,878,40,METRO40060M40060,958,50,METRO40060M40060,930,50,METRO40060M40060,925,50,METRO40060M40060,870,50,METRO40060M40060,788,50,METRO40060M40060,757,50,9999,485,40,10000,456,40,10000,456,40,10000,445,40,10000,428,40,10000,425,40,51,183
5118599999,"Tazewell County, VA",Tazewell County,NCNTY51185N51185,795,40,NCNTY51185N51185,702,40,"Tazewell County, VA",NCNTY51185N51185,701,40,NCNTY51185N51185,719,40,NCNTY51185N51185,704,40,NCNTY51185N51185,684,40,NCNTY51185N51185,633,40,NCNTY51185N51185,658,40,NCNTY51185N51185,643,40,NCNTY51185N51185,617,40,NCNTY51185N51185,626,40,NCNTY51185N51185,541,40,NCNTY51185N51185,588,40,NCNTY51185N51185,571,40,NCNTY51185N51185,557,40,NCNTY51185N51185,535,40,NCNTY51185N51185,502,40,NCNTY51185N51185,483,40,9999,436,40,10000,456,40,10000,456,40,10000,445,40,10000,428,40,10000,425,40,51,185
