1842,36095,36095,NY,SCHOHARIE,2,2,2,21.3,110,68.4,66,20,0.69,4.239,-0.95637,-1.24976,1.0078,-0.68502,1.68702,-0.10738,-0.3,3
1843,36097,36097,NY,SCHUYLER,2,8,6,23.0,102,69.4,63,15,5.04,6.222,-0.81573,-1.49063,0.88535,-0.47965,0.92868,0.94233,-0.03,3
1844,36099,36099,NY,SENECA,2,6,3,24.3,102,71.4,63,6,16.8,7.426,-0.70819,-1.49063,0.45956,-0.47965,-0.43633,1.58007,-1.08,3
1845,36101,36101,NY,STEUBEN,2,4,5,24.2,110,69.4,66,15,0.82,4.401,-0.71646,-1.24976,0.9887,-0.68502,0.92868,-0.02133,-0.76,3
1846,36103,36103,NY,SUFFOLK,2,0,1,30.1,151,72.3,63,4,61.61,8.726,-0.22838,-0.01529,0.71712,-0.47965,-0.73966,2.26796,1.52,4
1847,36105,36105,NY,SULLIVAN,2,6,6,26.3,110,72.6,66,20,2.72,5.606,-0.54274,-1.24976,0.30916,-0.68502,1.68702,0.61661,0.14,4
1848,36107,36107,NY,TIOGA,2,2,2,22.0,110,69.1,66,15,0.81,4.388,-0.89846,-1.24976,0.87988,-0.68502,0.92868,-0.0281,-1.05,3
1849,36109,36109,NY,TOMPKINS,2,5,7,23.0,102,69.4,63,15,3.17,5.758,-0.81573,-1.49063,0.88535,-0.47965,0.92868,0.69687,-0.28,3
1850,36111,36111,NY,ULSTER,2,4,5,26.5,135,74.6,62,20,2.95,5.687,-0.52619,-0.49703,-0.21137,-0.41119,1.68702,0.65925,0.7,4
1851,36113,36113,NY,WARREN,2,3,2,20.4,126,71.2,64,16,6.66,6.501,-1.03082,-0.76802,0.17742,-0.5481,1.08035,1.09,0.0,3
1852,36115,36115,NY,WASHINGTON,2,3,2,20.4,135,71.2,62,15,1.23,4.81,-1.03082,-0.49703,0.17742,-0.41119,0.92868,0.195,-0.64,3
1853,36117,36117,NY,WAYNE,2,1,1,25.1,109,71.1,61,4,56.35,8.637,-0.64201,-1.27987,0.60912,-0.34273,-0.73966,1.88595,-0.51,3
1854,36119,36119,NY,WESTCHESTER,2,0,1,27.0,135,74.7,62,15,13.46,7.205,-0.48483,-0.49703,-0.19519,-0.41119,0.92868,1.46275,0.8,4
1855,36121,36121,NY,WYOMING,2,6,4,23.8,102,70.5,63,6,0.59,4.072,-0.74955,-1.49063,0.65848,-0.47965,-0.43633,-0.19552,-2.69,2
