iloc_county_fips,POPESTIMATE_2011,any_ai_2011,patents_2011,POPESTIMATE_2019,any_ai_2019,patents_2019,pop_chg,pop_chg_pct,ppk_2011,ppk_2019,aippk_2011,aippk_2019,cbsa,msa,csa,county,state,central/outlying,EMA_aipat_9yr_2011,EMA_pat_9yr_2011,EMA_aipat_9yr_2019,EMA_pat_9yr_2019,total_patents,total_ai_patents,total_domestic_mig,bach_pct_2011,Individuals,burd_weight,med_home_val_2011,pct_chg_mhv,fmr_2011,fmr_2019,pct_chg_fmr,EMA_unemp_9yr_2011,SMA_unemp_9yr_2011,chg_SMA_unemp_9yr,chg_EMA_unemp_9yr,NatAmenScale,NatAmenRank,EMA_ppk_chg,EMA_aippk_chg,net_pop_chg_domestic_mig,dest_fips
42099,45924.0,0.0,7.0,46272.0,0.0,8.0,348.0,0.007577737130911941,0.15242574688615976,0.17289073305670816,0.0,0.0,"Harrisburg-Carlisle, PA",Metropolitan Statistical Area,"Harrisburg-York-Lebanon, PA",Perry County,Pennsylvania,Outlying,0.09177417724736896,0.17209171401599319,0.7661048127440023,0.19955027739108436,87,7.0,-533.0,0.10138489678599426,7053.388888888889,0.040802992826735676,150100.0,0.12884333821376273,790.0,1012.0,0.2810126582278481,6.123284627562916,5.577777777777778,-0.35555555555555607,-1.3558354335827447,-0.45,3.0,0.02745856337509117,0.6743306354966334,-0.011606131870046164,42099
42101,1540466.0,67.0,301.0,1584064.0,144.0,708.0,43598.0,0.028301825551488965,0.19539541930818338,0.44695163831764373,0.04349333253703749,0.09090541796291059,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Metropolitan Statistical Area,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",Philadelphia County,Pennsylvania,Central,39.790437368111505,0.15104321201319088,82.99342152328894,0.32184137121575956,4370,714.0,-90090.0,0.1430722911119103,142542.7857142857,0.06336761007860321,140700.0,0.32726982607308136,1077.0,1200.0,0.11420612813370473,8.569114183628377,7.966666666666667,-0.0777777777777775,-1.4920744104977732,-0.46,3.0,0.1707981592025687,43.20298415517744,-0.05848230340689116,42101
42103,57065.0,0.0,8.0,55809.0,3.0,13.0,-1256.0,-0.02200998860948042,0.14019101025146763,0.23293733985557885,0.0,0.05375477073590281,"New York-Newark-Jersey City, NY-NJ-PA",Metropolitan Statistical Area,"New York-Newark, NY-NJ-CT-PA",Pike County,Pennsylvania,Outlying,0.14002834308091167,0.10364509920329049,2.7600935769752755,0.1781486749807791,92,27.0,-985.0,0.1610794707789363,10810.638888888889,0.05085638920337858,216200.0,0.07913825620194395,1009.0,1206.0,0.1952428146679881,7.644696476643698,7.011111111111111,0.41111111111111054,-0.9840393009269652,1.26,4.0,0.07450357577748862,2.6200652338943637,-0.01726101813721195,42103
42107,147538.0,0.0,24.0,141359.0,0.0,27.0,-6179.0,-0.04188073581043528,0.16266995621467012,0.1910030489745966,0.0,0.0,"Pottsville, PA",Micropolitan Statistical Area,,Schuylkill County,Pennsylvania,Central,0.10995612754909036,0.10821743376596145,0.4952092430398067,0.15029921736630142,195,4.0,-2306.0,0.10427144193360355,18256.61111111111,0.03371894262468664,91200.0,0.11738059286338699,587.0,692.0,0.1788756388415673,8.05628272225633,7.377777777777776,-0.1999999999999993,-1.4968579657532963,0.49,4.0,0.04208178360033997,0.38525311549071634,-0.015629871626292886,42107
42109,,,,40372.0,0.0,5.0,,,,0.12384821163182404,,0.0,"Selinsgrove, PA",Micropolitan Statistical Area,"Bloomsburg-Berwick-Sunbury, PA",Snyder County,Pennsylvania,Central,,,0.00899872632482445,0.0873129003079659,27,0.0,-70.0,0.1048715499472123,4757.055555555556,0.0421699905700722,128300.0,0.14453549931104506,630.0,735.0,0.16666666666666666,6.54900141957319,5.944444444444445,-0.35555555555555607,-1.2512352903034705,-0.63,3.0,,,,42109
42111,77274.0,2.0,16.0,73447.0,0.0,12.0,-3827.0,-0.049525066645961124,0.207055413204959,0.1633831198006726,0.025881926650619873,0.0,"Somerset, PA",Micropolitan Statistical Area,"Johnstown-Somerset, PA",Somerset County,Pennsylvania,Central,0.8625338689733189,0.10469233292237749,1.0237685969134929,0.12902188638761045,97,11.0,-1750.0,0.1066594197272045,8485.972222222223,0.031055351185882464,94200.0,0.07531044558071597,587.0,692.0,0.1788756388415673,7.5134141778284125,7.022222222222222,0.16666666666666696,-0.917685477453734,0.01,3.0,0.024329553465232953,0.16123472794017402,-0.022646685819292387,42111
42113,6414.0,0.0,2.0,,,,,,0.3118178983473651,,0.0,,,,,,,,0.0,0.24153353650354747,,,3,0.0,52.0,0.09603991269098847,807.75,0.02949583162131817,,,595.0,692.0,0.16302521008403362,6.677024628883884,6.366666666666666,0.20000000000000018,-0.4938484616372216,0.01,3.0,,,0.008107265357031494,42113
42115,43229.0,2.0,9.0,40328.0,0.0,1.0,-2901.0,-0.06710772860811029,0.20819357375835665,0.02479666732791113,0.04626523861296815,0.0,,,,,,,1.6734630449855503,0.19238643822570237,0.8135973389427696,0.12381334197433315,54,7.0,-2168.0,0.11432140461264428,6432.972222222223,0.03119163809226435,131700.0,,608.0,735.0,0.20888157894736842,6.79484787721493,6.277777777777778,-0.4222222222222216,-1.4150386407711135,0.25,4.0,-0.06857309625136922,-0.8598657060427807,-0.05015151865645747,42115
42117,42242.0,0.0,9.0,40591.0,0.0,10.0,-1651.0,-0.03908432365891767,0.2130580938402538,0.2463600305486438,0.0,0.0,,,,,,,0.7368291412917573,0.19178294163599124,0.397419853247342,0.20454610708880286,73,4.0,-1179.0,0.11888641636286161,5351.333333333333,0.03660438149956581,111100.0,0.08507160138625507,614.0,755.0,0.2296416938110749,6.970599277476526,6.644444444444444,0.05555555555555536,-0.6071306803749597,-0.25,3.0,0.012763165452811615,-0.3394092880444152,-0.027910610293073245,42117
42119,45111.0,1.0,7.0,44923.0,0.0,4.0,-188.0,-0.004167497949502339,0.15517279599210834,0.08904124835830199,0.022167542284586908,0.0,"Lewisburg, PA",Micropolitan Statistical Area,"Bloomsburg-Berwick-Sunbury, PA",Union County,Pennsylvania,Central,0.7188874387116118,0.10407436752823003,0.6656740800789692,0.13239438980183502,57,6.0,-594.0,0.1456185852674514,7097.805555555556,0.04987939228330204,148500.0,0.18653668818337493,678.0,780.0,0.1504424778761062,6.5614408895496465,6.2555555555555555,-1.177777777777778,-1.7032015234279738,-1.08,3.0,0.028320022273604986,-0.05321335863264254,-0.013167520117044623,42119
